id,src,tgt
17,The documents showed fourteen banks helped wealthy clients hide billions of US dollars of wealth to avoid taxes and other regulations.,दस्तावेजों से पता चलता है कि चौदह बैंकों ने अमीर ग्राहकों को कर और अन्य नियमों से बचने के लिए अरबों अमेरिकी डॉलर की संपत्ति छिपाने में मदद की।
18,British newspaper The Guardian suggested Deutsche Bank controlled roughly a third of the 1200 shell companies used to accomplish this.,ब्रिटिश अख़बार द गार्जियन के अनुसार ड्यूश बैंक ने इसे पूरा करने के लिए इस्तेमाल की जाने वाली 1200 शेल कंपनियों में से एक तिहाई को मोटे तौर पर नियंत्रित किया.
19,"There were protests worldwide, several criminal prosecutions, and the leaders of the governments of Iceland and Pakistan both resigned.","दुनिया भर में विरोध प्रदर्शन हुए, कई आपराधिक मुकदमे दर्ज हुए और आइसलैंड और पाकिस्तान की सरकारों के कई नेताओं ने इस्तीफा दे दिया।"
20,"Born in Hong Kong, Ma studied at New York University and Harvard Law School and once held an American permanent resident ""green card"".","मा का जन्म हांगकांग में हुआ था, उन्होंने न्यूयॉर्क विश्वविद्यालय और हार्वर्ड लॉ स्कूल में अध्ययन किया और उनके पास अमेरिका की स्थाई नागरिकता वाला “ग्रीन कार्ड” भी था."
21,Hsieh implied during the election that Ma might flee the country during a time of crisis.,चुनाव के दौरान साइह ने जताया कि संकट के दौर में मा देश छोड़कर भाग सकते हैं.
22,Hsieh also argued that the photogenic Ma was more style than substance.,शय ने यह भी तर्क दिया कि फ़ोटोजेनिक मा हक़ीक़त की तुलना में ज़्यादा बनावटी थे.
23,"Despite these accusations, Ma won handily on a platform advocating closer ties with the Chinese mainland.","इन आरोपों के बावजूद, मा ने चीनी महाद्वीप के साथ घनिष्ठ संबंधों की वकालत करते हुए एक मंच पर जीत हासिल की."
24,Today's Player of the Day is Alex Ovechkin of the Washington Capitals.,आज के खिलाड़ी वॉशिगंटन कैपिटल्स के एलेक्स ओवेचकिन हैं.
25,He had 2 goals and 2 assists in Washington's 5-3 win over the Atlanta Thrashers.,अटलांटा थ्रैशर्स पर वाशिंगटन की 5-3 की जीत में उन्होंने 2 गोल और 2 असिस्ट किए थे.
26,Ovechkin's first assist of the night was on the game-winning goal by rookie Nicklas Backstrom;,उस रात रूकी निकल्स बैकस्ट्रॉम के खेल जिताने वाले गोल से ओवेचकिन को सबसे पहली मदद मिली.
27,"his second goal of the night was his 60th of the season, becoming the first player to score 60 or more goals in a season since 1995-96, when Jaromir Jagr and Mario Lemieux each reached that milestone.","रात का उनका दूसरा गोल सीज़न का उनका 60वाँ गोल था, जिससे 1995-96 से लेकरजब जोरोमिर जागर और मारियो लेमिएक्स ने इतने गोल किए थे उसके बाद वह एक सीज़न में 60 या इससे अधिक गोल करने वाले पहले खिलाड़ी बन गए हैं."
28,Batten was ranked 190th on the 2008 400 Richest Americans list with an estimated fortune of $2.3 billion.,2008 के 400 सबसे अमीर अमेरिकियों की सूची में बैटन को $ 2.3 billion की अनुमानित संपत्ति के साथ 190 वें स्थान पर रखा गया था।
29,He graduated from the College of Arts & Sciences of the University of Virginia in 1950 and was a significant donor to that institution.,उन्होंने 1950 में वर्जीनिया यूनिवर्सिटी के कला और विज्ञान महाविद्यालय से स्नातक की उपाधि हासिल की थी और वे उस संस्था के अहम दानदाता थे.
30,Iraq's Abu Ghraib prison has been set alight during a riot.,इराक की अबू ग़रीब जेल को दंगे के दौरान आग के हवाले कर दिया गया।
31,The jail became notorious after prisoner abuse was discovered there after US forces took over.,"कैदी दुर्व्यवहार के पता चलने का बाद जेल कुख्यात हो गयी, उसके बाद यू एस सैन्य दलों ने पद भर संभल लिया |"
32,"Piquet Jr. crashed in the 2008 Singapore Grand Prix just after an early pit stop for Fernando Alonso, bringing out the safety car.",फ़र्नांडो अलोंसो के लिए एक शुरुआती पिट स्टॉप के बाद पिकेट जूनियर 2008 के सिंगापुर ग्रां प्री में दुर्घटनाग्रस्त हो गया।
33,"As the cars ahead of Alonso went in for fuel under the safety car, he moved up the pack to take victory.","जैसे ही अलोंसो के आगे की कारें सेफ्टी कार के नीचे ईंधन लेने के लिए चली गईं, वह जीत दर्ज करने के लिए आगे बढ़ गया।"
34,Piquet Jr. was sacked after the 2009 Hungarian Grand Prix.,पिकेट जूनियर को 2009 हंगरी ग्रैंड प्री के बाद निकाल दिया गया था.
35,"At exactly 8:46 a.m. a hush fell across the city, marking the exact moment the first jet struck its target.","ठीक 8:46 बजे, सुबह पूरे शहर मे चुप्पी फैल गई, ठीक उसी पल पहले जेट ने अपना निशाना बनाया।"
36,Two beams of light have been rigged up to point skywards overnight.,रातभर आसमान की ओर देखने के लिए प्रकाश की दो किरणों को तैयार किया गया है.
37,"Construction is ongoing for five new skyscrapers at the site, with a transportation center and memorial park in the middle.","साईट पर पांच नई गगनचुम्बी इमारतों पर काम चल रहा है, इन इमारतों के बीच में एक परिवहन केंद्र और स्मारक पार्क होगा।"
38,"The PBS show has more than two-dozen Emmy awards, and its run is shorter only than Sesame Street and Mister Rogers' Neighborhood.",इस PBS शो को दो दर्जन से ज़्यादा एमी पुरस्कार मिल चुके हैं. नियमित प्रसारण के मामले में यह सिर्फ़ सीसेम स्ट्रीट और मिस्टर रॉजर नेबरहुड से पीछे है.
39,Each episode of the show would focus on a theme in a specific book and then explore that theme through multiple stories.,शो का हर एक एपिसोड एक ख़ास पुस्तक की थीम पर केंद्रित होगा और फिर कई कहानियों के माध्यम से उस थीम को खोजेगा.
40,Each show would also provide recommendations for books that children should look for when they went to their library.,हर शो में कुछ किताबों के बारे में सलाह भी दी जाएगी. बच्चों को अपनी लाइब्रेरी में जाकर ये किताबें पढ़नी चाहिए.
41,"John Grant, from WNED Buffalo (Reading Rainbow's home station) said ""Reading Rainbow taught kids why to read,... the love of reading — [the show] encouraged kids to pick up a book and to read.""","डब्ल्यूएनईडी बफेलो से (Rainbow's home station पढ़ते हुए) जॉन ग्रांट ने कहा “रेनबो ने बच्चों को सिखाया कि पढ़ना क्यों चाहिए,.... पढने के प्रति लगाव --- (द शो) ने बच्चों को किताब उठा के पढने के लिए प्रेरित किया."
42,"It is believed by some, including John Grant, that both the funding crunch and a shift in the philosophy of educational television programming contributed to ending the series.",जॉन ग्रांट सहित कुछ लोगों का मानना है कि फंडिंग की कमी और शैक्षिक टेलीविज़न प्रोग्रामिंग के दर्शन में बदलाव दोनों ने इस श्रृंखला को समाप्त करने में योगदान दिया है.
43,"The storm, situated about 645 miles (1040 km) west of the Cape Verde islands, is likely to dissipate before threatening any land areas, forecasters say.","पूर्वानुमान कहते हैं कि यह तूफ़ान केप वर्डे द्वीपों के पश्चिम में लगभग 645 मील (1040 किमी) की दूरी पर स्थित है, जिसके किसी भी भूमि क्षेत्रों में नुकसान करने से पहले समाप्त होने की संभावना है."
44,Fred currently has winds of 105 miles per hour (165 km/h) and is moving towards the northwest.,इस समय फ़्रेड 105 मील प्रति घंटे (165 किमी प्रति घंटा) की हवा की गति से उत्तर-पश्चिम की ओर बढ़ रहा है.
45,"Fred is the strongest tropical cyclone ever recorded so far south and east in the Atlantic since the advent of satellite imagery, and only the third major hurricane on record east of 35°W.",सैटेलाइट इमेजरी के आगमन के बाद से फ़्रेड अटलांटिक में अब तक दक्षिण और पूर्व में दर्ज सबसे शक्तिशाली उष्णकटिबंधीय चक्रवात है और 35°W के पूर्व में केवल तीसरा प्रमुख तूफ़ान रिकॉर्ड है.
46,"On September 24, 1759, Arthur Guinness signed a 9,000 year lease for the St James' Gate Brewery in Dublin, Ireland.","24 सितंबर, 1759 को, आर्थर गिनीज़ ने डबलिन, आयरलैंड में सेंट जेम्स गेट ब्रूअरी के लिए 9,000 साल की लीज़ पर हस्ताक्षर किए."
47,"250 years later, Guinness has grown to a global business that turns over 10 billion euros (US$14.7 billion) every year.","250 साल बाद, गिनीज़ एक वैश्विक व्यवसाय बन चुका है जो हर साल 10 बिलियन यूरो (14.7 बिलियन अमेरिकी डॉलर) से ज़्यादा की कमाई करता है."
48,"Jonny Reid, co-driver for the A1GP New Zealand team, today made history by driving the fastest over the 48-year-old Auckland Harbour Bridge, New Zealand, legally.",आज A1GP न्यूज़ीलैंड टीम के को-ड्राइवर जॉनी रेड ने न्यूज़ीलैंड के 48 साल से अधिक पुराने ऑकलैंड हार्बर ब्रिज पर वैधानिक रूप से सबसे तेज़ गाड़ी चलाकर इतिहास बनाया.
49,"Mr Reid managed to drive the New Zealand's A1GP car, Black Beauty at speeds over 160km/h seven times over the bridge.","श्री रीड न्यूज़ीलैंड की A1GP कार, ब्लैक ब्यूटी को एक पुल से 160 किलोमीटर/घंटा से तेज़ रफ़्तार से सात बार ले जाने में सफल रहे."
50,"The New Zealand police had trouble using their speed radar guns to see how fast Mr Reid was going because of how low Black Beauty is, and the only time the police managed to clock Mr Reid was when he slowed down to 160km/h.","ब्लैक ब्यूटी के छोटे आकार की वजह से न्यूज़ीलैंड की पुलिस को स्पीड रडार गन का इस्तेमाल करके श्री रीड की रफ़्तार पता लगाने में कठिनाई हो रही थी. पुलिस उनकी रफ़्तार सिर्फ़ तभी माप सकी, जब वे रफ़्तार कम करके 160 किलोमीटर/घंटा पर आ गए थे."
51,"In the last 3 months, over 80 arrestees were released from the Central Booking facility without being formally charged.","पिछले 3 महीनों में, सेंट्रल बुकिंग फ़ेसिलिटी ने 80 से ज़्यादा लोगों को बिना कोई आधिकारिक आरोप लगाए रिहा कर दिया."
52,"In April this year, a temporary restaining order was issued by Judge Glynn against the facility to enforce the release of those held more than 24 hours after their intake who did not receive a hearing by a court commissioner.","इस साल अप्रैल में, जज ग्लिन ने जेल प्रशासन के खिलाफ अस्थाई बचाव आदेश दिया था. इसमें ऐसे लोगों को ज़बरदस्ती 24 घंटों से ज़्यादा रखने पर पाबंदी है जो जेल में आने के बाद न्यायलय कमिश्नर के सामने पेश नहीं किए गए."
53,"The commissioner sets bail, if granted, and formalizes the charges filed by the arresting officer. The charges are then entered into the state's computer system where the case is tracked.","अगर गिरफ़्‍तार करने वाले अधिकारी द्वारा दर्ज किए गए आरोपों को औपचारिक रूप और अनुमति दी जाती है, तब आयुक्त जमानत प्रदान करता है. फिर आरोपों को राज्य की कंप्यूटर प्रणाली में दर्ज किया जाता है जहाँ मामले को ट्रैक किया जाता है."
54,The hearing also marks the date for the suspect’s right to a speedy trial.,सुनवाई में एक त्वरित परीक्षण के लिए संदिग्ध के अधिकार की तारीख भी अंकित है।
55,"Peter Costello, Australian treasurer and the man most likely to succeed Prime Minister John Howard as Liberal party leader has thrown his support behind a nuclear power industry in Australia.",ऑस्ट्रेलिया के ट्रेज़रार और लिबरल पार्टी के नेता के रूप में प्रधानमंत्री जॉन हॉवर्ड की जगह लेने वाले पीटर कास्टेलो ने ऑस्ट्रेलिया में न्यूक़्लियर पॉवर इंडस्ट्री को अपना समर्थन दे दिया है.
56,"Mr Costello said that when nuclear power generation becomes economically viable, Australia should pursue its use.","मिस्टर कॉस्टेलो ने कहा कि जब परमाणु ऊर्जा उत्पादन आर्थिक रूप से व्यावहारिक हो जाता है, तो ऑस्ट्रेलिया को इसका इस्तेमाल करना चाहिए."
57,"""If it becomes commercial, we should have it. That is, there's no in-principle objection to nuclear energy"" Mr Costello said.","“यदि यह वाणिज्यिक हो जाता है, तो इसे हमारे पास होना चाहिए। श्री कोस्टेलो ने कहा कि परमाणु ऊर्जा पर कोई सैद्धांतिक आपत्ति नहीं है।”"
58,"According to Ansa, ""police were concerned by a couple of top-level hits they feared might spark a full-blown war of succession.","अन्सा के अनुसार, “पुलिस शीर्ष स्तर के कुछ हिट्स से चिंतित थी उन्हें डर था कि वे उत्तराधिकार के लिए एक जंग छेड़ सकते हैं."
59,Police said Lo Piccolo had the upper hand because he had been Provenzano's right-hand man in Palermo and his greater experience won him the respect of the older generation of bosses as they pursued Provenzano's policy of keeping as low as possible while strengthening their power network.,पुलिस ने कहा कि लो पिकालो की स्थिति मज़बूत थी क्योंकि वह पलेर्मो में प्रोवेनज़ानो का दाहिना हाथ था और उसके अनुभव ने उसे पुरानी पीढ़ी के मालिकों का सम्मान दिलवाया था क्योंकि वे अपने शक्ति तंत्र को मजबूत करते हुए अपनी छवि को न्यून बनाए रखने के प्रोवेनज़ानो की नीति का अनुसरण करते थे।
60,"These bosses had been reined in by Provenzano when he put an end to the Riina-driven war against the state that claimed the lives of Mafia crusaders Giovanni Falcone and Paolo Borsellino in 1992.""",इन मालिकों को प्रोवेनज़ानो ने अपने वश में कर रखा था जब उन्होंने 1992 में राज्य के विरुद्ध रीना-द्वारा संचालित युद्ध को समाप्त किया जिसमें माफिया योद्धा जियोवानी फैल्कोन और पाओलो बोरसेलिनो की जान चली गई थी।”
61,Apple CEO Steve Jobs unveiled the device by walking onto the stage and taking the iPhone out of his jeans pocket.,Apple के सीईओ स्टीव जॉब्स ने मंच पर चढ़ कर और अपनी जींस की जेब से आईफ़ोन निकालकर डिवाइस का अनावरण किया.
62,"During his 2 hour speech he stated that ""Today Apple is going to reinvent the phone, We are going to make history today"".","अपने 2 घंटे के भाषण के दौरान, उन्होंने कहा कि “आज ऐपल अपने फ़ोन का फिर आविष्कार करने जा रहा है, आज हम इतिहास बनाने जा रहे हैं."
63,"Brazil is the largest Roman Catholic country on Earth, and the Roman Catholic Church has consistently opposed the legalization of same-sex marriage in the country.","ब्राजील, धरती पर सबसे बड़ा रोमन कैथोलिक देश है और रोमन कैथोलिक चर्च ने देश में समलैंगिक विवाह को वैध बनाने के खिलाफ हमेशा विरोध किया है."
64,"The National Congress of Brazil has debated legalization for 10 years, and such civil marriages are currently only legal in Rio Grande do Sul.",ब्राज़ील की नेशनल कांग्रेस इस तरह के नागरिक विवाह को कानूनी मान्यता देने के लिए 10 सालों से चर्चा कर रही है जिसे फ़िलहाल सिर्फ़ रियो ग्रांडे डो सुल मान्यता प्राप्त है.
65,"The original bill was drafted by former mayor of São Paulo, Marta Suplicy. The proposed legislation, after being amended, is now in the hands of Roberto Jefferson.",मूल बिल को साओ पाउलो के पूर्व मेयर मार्ता सुपीली द्वारा तैयार किया गया था। संशोधित होने के बाद प्रस्तावित कानून बन गया और अब यह रॉबर्टो जेफरसन के हाथों में है।
66,Protesters hope to collect a petition of 1.2 million signatures to present to the National Congress in November.,प्रदर्शनकारियों को आशा है कि वो नवंबर में राष्ट्रीय कांग्रेस के सामने प्रस्तुत करने के लिए 12 लाख हस्ताक्षर एकत्र करके एक याचिका बना लेंगे।
67,"After it became apparent that many families were seeking legal help to fight the evictions, a meeting was held on March 20 at the East Bay Community Law Center for the victims of the housing scam.","ये साफ हो जाने के बाद कि कई परिवार निष्कासन से लड़ने के लिए कानूनी मदद ले रहे थे, 20 मार्च को हाउसिंग घोटले के पीड़ितों के लिए ईस्ट बे कम्युनिटी लॉ सेंटर में मीटिंग रखी गई थी."
68,"When the tenants started sharing what had occurred to them, most of the families involved suddenly realized that Carolyn Wilson of the OHA had stolen their security deposits, and skipped out of town.","जब किरायेदारों ने साझा करना शुरू किया कि उनके साथ क्या हुआ था, तो इसमें शामिल ज़्यादातर परिवारों को अचानक पता चला कि ओएचए के कैरोलिन विल्सन ने उनकी सुरक्षा जमा राशि चुरा ली थी और शहर से भाग गया था."
69,"Tenants at Lockwood Gardens believe that there may be another 40 families or more to face eviction, since they learned that OHA police are also investigating other public housing properties in Oakland that may be caught up in the housing scam.","लॉकवुड गार्डन के किरायेदारों का मानना ​​है कि अन्य 40 परिवार या उससे ज़्यादा बेदखली का सामना कर सकते हैं, चूँकि उन्हें पता चला है कि ओएचए पुलिस ऑकलैंड में अन्य सार्वजनिक आवास संपत्तियों की जाँच कर रही है जो आवास घोटाले में पकड़े जा सकते हैं."
70,"The band canceled the show at Maui's War Memorial Stadium, which was set to be attended by 9,000 people, and apologized to fans.","बैंड ने माउ के वॉर मेमोरियल स्टेडियम में होने वाले शो को रद्द कर दिया, जिसको कि 9,000 लोग देखने के लिए आने वाले थे और प्रशंसको से माफ़ी मांगी। ।"
71,"The band's management company, HK Management Inc., gave no initial reason when they canceled on September 20, but blamed logistical reasons by the next day.","बैंड की प्रबंधन कंपनी, एचके मैनेजमेंट इनकॉरपोरेशन, ने 20 सितंबर को अपने कार्यक्र्म को रद्द करने का कोई प्रारंभिक कारण नहीं बताया, लेकिन अगले दिन तैयारी के कारणों को दोषी ठहराया।"
72,"The famous Greek lawyers, Sakis Kechagioglou and George Nikolakopoulos have been imprisoned in the Athens' jail of Korydallus, as they were found guilty of graft and corruption.","प्रसिद्ध ग्रीक वकील साकिस केचाग्येग्लो और जॉर्ज निकोलाकोपौलोस को कोरीडल्लोस के एथेंस जेल में बंद किया गया है, क्योंकि वे रिश्वत और भ्रष्टाचार के दोषी पाए गए थे."
73,"As a result of this, a big scandal within the Greek legal community has been raised through the exposure of illegal actions that judges, lawyers, solicitors and attorneys have done during the previous years.","इसके परिणामस्वरूप, ग्रीक कानूनी समुदाय के भीतर एक बड़े घोटाले को अवैध कार्यों के उजागर होने के माध्यम से उठाया गया है जो न्यायाधीशों, वकीलों, सॉलिसिटर और अधिवक्ताओं ने पिछले सालों के दौरान किए हैं."
74,"A few weeks ago, after the information published by the journalist Makis Triantafylopoulos in his popular Television show ""Zoungla"" in Alpha TV, the member of Parliament and lawyer, Petros Mantouvalos was abdicated as members of his office had been involved in illegal graft and corruption.","कुछ सप्ताह पहले, पत्रकार माकीस त्रिनताफेलोपोस द्वारा अपने लोकप्रिय टेलीविजन शो ज़ूंगला में अल्फा टीवी में प्रकाशित जानकारी के बाद, संसद के सदस्य और वकील, पेट्रोस मंतौवलोस को पदमुक्त कर दिया गया था क्योंकि उनके कार्यालय के सदस्य अवैध भ्रष्टाचार और भ्रष्टाचार में लिप्त थे। । तबाही के प्रभाव, अवसाद और भय नियमित साप्ताहिक संरचित पीए सत्रों के सशर्त नहीं थे।"
75,"Moreover, top judge Evangelos Kalousis is imprisoned as he found guilty of corruption and degenerate behaviour.","इतना ही नहीं, टॉप जज एवेंजेलोस कालूसिस को गिरफ़्तार कर लिया गया क्योंकि उन्हें भ्रष्टाचार और दुर्व्यहार के लिए दोषी पाया गया था."
76,"Roberts flatly refused to say about when he believes life begins, an important question when considering the ethics of abortion, saying that it would be unethical to comment on the specifics of likely cases.","गर्भपात की नैतिकता पर विचार करते समय एक महत्वपूर्ण सवाल, जीवन कब शुरू होता है पर संभावित मामलों की बारीकियों पर टिप्पणी करने को अनैतिक बताते हुए रॉबर्ट्स ने इस पर अपने विचार प्रकट करने से साफ़-साफ़ मना कर दिया."
77,"He did, however, reiterate his earlier statement that Roe v. Wade was the ""settled law of the land"", emphasizing the importance of consistent Supreme Court rulings.","हालांकि, उन्होंने अपने पहले के बयान को दोहराया कि रो वर्सस वेड “भूमि का व्यवस्थित कानून” था, जिस में उच्चतम न्यायालय के सुसंगत निर्णयों के महत्व पर जोर दिया गया था।"
78,He also confirmed that he believed in the implied right to privacy which the Roe decision depended upon.,"उसने यह पुष्टि भी की है कि उसे गोपनीयता के निहित अधिकारों पर यकीन है, जिस पर कि रो निर्णय आधारित है."
79,"Maroochydore had finished on top of the ladder, six points clear of Noosa in second.",मारूसाइडोर पहले पायदान पर आया जबकि उससे छह नंबर पीछे रहकर नूसा दूसरे पायदान पर आया।
80,The two sides would meet in the major semi final where Noosa ran out winners by 11 points.,दोनों पक्ष मुख्य सेमीफ़ाइनल में भिड़े जहाँ नूसा 11 अंकों से विजेता बने.
81,Maroochydore then defeated Caboolture in the Preliminary Final.,मारूचिडोर ने इसके बाद प्रारंभिक फाइनल में कैबुलचर को हराया।
82,Hesperonychus elizabethae is a species of the family Dromaeosauridae and is a cousin of Velociraptor .,"हेस्पेरोनिकस एलिजाबेथ, ड्रोमाओसौरिडी परिवार की एक प्रजाति है और वेलोसिरैप्टर का चचेरा भाई है।"
83,"This fully feathered, warm blooded bird of prey was believed to have walked upright on two legs with claws like the Velociraptor.","माना जाता है कि यह पूरी तरह पंख से लदे गरम खून वाले शिकारी पक्षी, वेलोसाइराप्टर जैसे पंजे के साथ दो पैरों पर सीधा चलते थे।"
84,"Its second claw was larger, giving rise to the name Hesperonychus which means ""western claw.""","इसका दूसरा पंजा बड़ा था, जिससे इसका नाम हेस्पेरोनीकस पड़ा, जिसका अर्थ है “पश्चिमी पंजा”।"
85,"In addition to the crushing ice, extreme weather conditions have been hampering rescue efforts.","तेज़ बर्फबारी के अलावा, मौसम की ख़राब स्थिति बचाव के प्रयासों में बाधा बन रही है।"
86,Pittman suggested that conditions wouldn't improve until sometime next week.,पिटमैन ने सुझाव दिया कि अगले सप्ताह कुछ समय तक स्थिति में सुधार नहीं होगा.
87,"The amount and thickness of the pack ice, according to Pittman, is the worst it has been for sealers in the past 15 years.","पिटमैन के अनुसार, पैक बर्फ की मात्रा और मोटाई पिछले 15 वर्षों में सीलर्स के लिए सबसे ख़राब है."
88,News spread in the Red Lake community today as funerals for Jeff Weise and three of the nine victims were held that another student was arrested in connection with the school shootings of March 21.,"जेफ वीस और नौ पीड़ितों में से तीन का अंतिम संस्कार करते समय, आज रेड लेक समुदाय में ये खबर फैल गई कि एक अन्य छात्र को 21 मार्च की स्कूल में गोलीबारी के सिलसिले में गिरफ्तार किया गया है।"
89,Authorities said little officially beyond confirming today's arrest.,अधिकारियों ने आज की गिरफ्तारी की पुष्टि करने से परे थोडा आधिकारिक तौर पर कहा.
90,"However, a source with knowledge of the investigation told the Minneapolis Star-Tribune that it was Louis Jourdain, 16-year old son of Red Lake Tribal Chairman Floyd Jourdain.","हालाँकि, जाँच के बारे में जानकारी रखने वाले एक सूत्र ने मिनियापोलिस स्टार-ट्रिब्यून को बताया कि ये रेड लेक ट्राइबल के अध्यक्ष फ़्लॉयड जर्सडैन के 16 वर्षीय बेटे लुई जर्सडैन थे."
91,It is not known at this time what charges will be laid or what led authorities to the boy but juvenile proceedings have begun in federal court.,"इस समय यह ज्ञात नहीं है कि क्या आरोप लगाया जाएगा या अधिकारियों ने उस बच्चे को क्यों पकड़ा, लेकिन संघीय अदालत में किशोर कार्यवाही शुरू हो गई है।"
92,Lodin also said officials decided to cancel the runoff in order to save Afghans the expense and security risk of another election.,लॉडिन ने यह भी कहा कि अधिकारियों ने दूसरे चुनाव के खर्च और सुरक्षा जोखिम को बचाने के लिए न भागने का फैसला लिया है.
93,Diplomats said that they had found enough ambiguity in the Afghan constitution to determine the runoff as unnecessary.,राजनीतिज्ञों ने कहा कि उन्होंने निर्णायक मत को अनावश्यक रूप से निर्धारित करने के लिए अफ़गान संविधान में काफी अस्पष्टता पाई थी.
94,"This contradicts earlier reports, which said that cancelling the runoff would have been against the constitution.","यह पहले की रिपोर्टों का खंडन करता है, जिसमें कहा गया था कि निर्णायक मत को रद्द करना संविधान के ख़िलाफ़ होगा."
95,The aircraft had been headed to Irkutsk and was being operated by interior troops.,विमान इरकुत्स्क की ओर जा रहा था और आंतरिक सैनिकों द्वारा संचालित किया जा रहा था।
96,An inquiry was established to investigate.,छानबीन के लिए एक जाँच गठित की गई थी।
